cumulative_positive_tested,current_hospitalized,current_asymptomatic_free
0.9768600690175909,249.596958264651,27.60759681870951
1.0067424140829053,397.98276817312086,41.683984990369034
1.0536824900245512,571.8154034618921,56.00295739720932
0.9999843096010216,890.8592533357953,75.56690795777385
0.9944414280718938,1173.0393988496269,82.21924608882681
0.9782504763262554,1174.0754114218198,74.23769761168795
0.9874699410685133,1207.7676404379954,66.50996903204532
0.9749987586235982,995.2670416551205,53.683637387464536
0.9661414983075978,590.8693559645028,36.00705842209963
0.5384827037082868,4.302175715884735,1.8657874270411512
0.38394600841469745,0.26704688003653254,0.2945749264405442
0.35582488718060096,0.24517470080445677,0.3014699740251482
0.8181342359917879,0.2581351037495121,0.35740471824171655
0.6837099631289415,0.24817722092258632,0.3379917477214997
1.0515220741196374,0.2682938082147432,0.3753024451589938
1.3362706536230982,0.3069612481927381,0.4436413809252624
